"","roc_curve.specificities"
"1",0
"2",0.0256410256410256
"3",0.0512820512820513
"4",0.0769230769230769
"5",0.0769230769230769
"6",0.102564102564103
"7",0.128205128205128
"8",0.153846153846154
"9",0.179487179487179
"10",0.205128205128205
"11",0.205128205128205
"12",0.230769230769231
"13",0.230769230769231
"14",0.256410256410256
"15",0.282051282051282
"16",0.307692307692308
"17",0.307692307692308
"18",0.307692307692308
"19",0.333333333333333
"20",0.333333333333333
"21",0.333333333333333
"22",0.333333333333333
"23",0.358974358974359
"24",0.384615384615385
"25",0.41025641025641
"26",0.435897435897436
"27",0.461538461538462
"28",0.487179487179487
"29",0.512820512820513
"30",0.538461538461538
"31",0.564102564102564
"32",0.564102564102564
"33",0.564102564102564
"34",0.58974358974359
"35",0.58974358974359
"36",0.615384615384615
"37",0.641025641025641
"38",0.641025641025641
"39",0.666666666666667
"40",0.692307692307692
"41",0.692307692307692
"42",0.692307692307692
"43",0.692307692307692
"44",0.717948717948718
"45",0.743589743589744
"46",0.769230769230769
"47",0.769230769230769
"48",0.769230769230769
"49",0.794871794871795
"50",0.794871794871795
"51",0.794871794871795
"52",0.794871794871795
"53",0.794871794871795
"54",0.82051282051282
"55",0.846153846153846
"56",0.846153846153846
"57",0.846153846153846
"58",0.846153846153846
"59",0.871794871794872
"60",0.871794871794872
"61",0.871794871794872
"62",0.897435897435897
"63",0.897435897435897
"64",0.923076923076923
"65",0.923076923076923
"66",0.948717948717949
"67",0.948717948717949
"68",0.974358974358974
"69",0.974358974358974
"70",0.974358974358974
"71",0.974358974358974
"72",0.974358974358974
"73",0.974358974358974
"74",0.974358974358974
"75",0.974358974358974
"76",0.974358974358974
"77",1
"78",1
"79",1
"80",1
